country,location_name,latitude,longitude,last_updated,temperature_fahrenheit,wind_mph,humidity,cloud,uv_index
Senegal,Dakar,14.67,-17.44,2024-05-16,71.6,6.9,78,75,6
Serbia,Belgrade,44.8,20.47,2024-05-16,66.2,25.5,56,0,5
Seychelles Islands,Victoria,-4.62,55.45,2024-05-16,80.6,12.5,89,75,7
Sierra Leone,Freetown,8.49,-13.23,2024-05-16,81.3,2.2,79,36,7
Singapore,Singapore,1.29,103.86,2024-05-16,78.8,2.5,89,75,6
Slovakia,Bratislava,48.15,17.12,2024-05-16,62.6,16.1,55,25,4
Slovenia,Ljubljana,46.06,14.51,2024-05-16,60.8,10.5,82,75,3
Solomon Islands,Honiara,-9.43,159.95,2024-05-16,80.5,9.8,87,78,1
Somalia,Mogadishu,2.07,45.37,2024-05-16,86,13.6,89,25,7
South Africa,Pretoria,-25.75,28.19,2024-05-16,68,3.8,35,0,7
South Korea,Seoul,37.57,127,2024-05-16,66.2,9.4,35,0,5
Sudan,Juba,12.15,24.45,2024-05-16,86.5,20.6,10,6,8
Spain,Madrid,40.4,-3.68,2024-05-16,57.2,11.9,47,0,4
Sri Lanka,Colombo,6.93,79.85,2024-05-16,78.8,3.8,94,50,6
Sudan,Khartoum,15.59,32.53,2024-05-16,90.4,15.7,10,3,8
Suriname,Paramaribo,5.83,-55.17,2024-05-16,75.9,4.7,96,43,1
Sweden,Stockholm,59.33,18.05,2024-05-16,68,6.9,40,0,5
Switzerland,Bern,46.92,7.47,2024-05-16,57.2,2.2,82,75,3
Syria,Damascus,33.5,36.3,2024-05-16,75.2,2.2,31,0,6
Tajikistan,Dushanbe,38.56,68.77,2024-05-16,84.2,2.2,37,25,6
Tanzania,Dodoma,-6.18,35.75,2024-05-16,77,11.9,57,50,8
Thailand,Bangkok,13.75,100.52,2024-05-16,87.8,9.4,75,25,8
Timor-Leste,Dili,-8.56,125.57,2024-05-16,82.4,8.9,77,79,7
Bulgaria,Lom,43.81,23.24,2024-05-16,66.2,18.6,43,0,4
Tonga,Nuku`Aloia,-21.13,-175.2,2024-05-16,73.4,20.6,100,100,1
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2024-05-16,78.8,2.2,89,25,1
Tunisia,Tunis,36.8,10.18,2024-05-16,75.2,11.9,57,25,6
Turkey,Ankara,39.93,32.86,2024-05-16,60.8,8.1,45,75,4
Turkmenistan,Ashgabat,37.95,58.38,2024-05-16,73.4,4.3,69,75,5
Tuvalu,Funafuti,-8.52,179.22,2024-05-16,78.8,12.5,100,100,1
Uganda,Kampala,0.32,32.57,2024-05-16,78.3,2.2,60,77,6
Ukraine,Kyiv,50.43,30.52,2024-05-16,56.8,8.1,53,72,3
United Arab Emirates,Abu Dhabi,24.47,54.37,2024-05-16,102.2,6.9,19,0,8
United Kingdom,London,51.52,-0.11,2024-05-16,57.2,2.5,88,50,3
United States of America,Washington Park,46.6,-120.49,2024-05-16,61,4.3,58,0,1
Uruguay,Montevideo,-34.86,-56.17,2024-05-16,42.8,5.6,87,0,1
Uzbekistan,Tashkent,41.32,69.25,2024-05-16,71.6,9.4,73,37,5
Vanuatu,Port Vila,-17.73,168.32,2024-05-16,77,8.1,83,50,1
Venezuela,Caracas,10.5,-66.92,2024-05-16,78.8,2.2,84,25,1
Vietnam,Hanoi,21.03,105.85,2024-05-16,86,4.3,62,75,6
Yemen,Sanaa,15.35,44.21,2024-05-16,78.2,7.8,27,82,6
Zambia,Lusaka,-15.42,28.28,2024-05-16,71.3,8.9,46,12,7
Zimbabwe,Harare,-17.82,31.04,2024-05-16,68.4,6,37,4,7
Afghanistan,Kabul,34.52,69.18,2024-05-16,71.6,4.5,41,89,5
Albania,Tirana,41.33,19.82,2024-05-16,84.2,4.3,45,25,6
Algeria,Algiers,36.76,3.05,2024-05-16,77,17.4,39,25,6
Andorra,Andorra La Vella,42.5,1.52,2024-05-16,43.3,6.3,76,76,2
Angola,Luanda,-8.84,13.23,2024-05-16,89.6,16.1,63,0,8
Antigua and Barbuda,Saint John's,17.12,-61.85,2024-05-16,84.2,9.4,75,50,6
Argentina,Buenos Aires,-34.59,-58.67,2024-05-16,51.8,6.9,76,0,5
Armenia,Yerevan,40.18,44.51,2024-05-16,59,2.5,77,37,4
Australia,Canberra,-35.28,149.22,2024-05-17,41,2.2,100,0,1
Austria,Vienna,48.2,16.37,2024-05-16,62.6,16.1,72,75,4
Azerbaijan,Baku,40.4,49.88,2024-05-16,62.6,11.9,59,50,5
Bahamas,Nassau,25.08,-77.35,2024-05-16,84.2,16.1,79,50,7
Bahrain,Manama,26.24,50.58,2024-05-16,96.8,10.5,42,0,8
Bangladesh,Dhaka,23.72,90.41,2024-05-16,93.6,7.8,41,20,1
Barbados,Bridgetown,13.1,-59.62,2024-05-16,86,19.2,75,25,6
Belarus,Minsk,53.9,27.57,2024-05-16,62.6,4.3,34,0,5
Belgium,Brussels,50.83,4.33,2024-05-16,62.6,11.9,77,50,4
Belize,Belmopan,17.25,-88.77,2024-05-16,86,8.1,79,75,7
Benin,Porto-Novo,6.48,2.62,2024-05-16,75.2,17.4,89,100,6
Bhutan,Thimphu,27.48,89.6,2024-05-16,50.9,3.6,90,72,1
Bolivia,Sucre,-19.04,-65.26,2024-05-16,65.9,3.1,37,13,6
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2024-05-16,68,2.2,83,25,5
Botswana,Gaborone,-24.65,25.91,2024-05-16,84.2,6.9,19,25,8
Brazil,Bras,-2.08,-58.17,2024-05-16,88.6,4,61,31,9
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2024-05-16,80.6,6.9,100,75,1
Bulgaria,Sofia,42.68,23.32,2024-05-16,51.8,19.2,82,75,3
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-16,75.2,10.5,94,25,8
